file,scan_preset,iteration,relaxation,time_sec,mse,psnr,ssim
sart_i50_r0.20_hologic_scan.npy,hologic_scan,50,0.2,87.9271,0.007732740424109695,21.116665681575128,0.5533328105874709
sart_i100_r0.10_hologic_scan.npy,hologic_scan,100,0.1,248.926,0.007740394055313362,21.112369292793932,0.5545646498895757
sart_i15_r0.80_hologic_scan.npy,hologic_scan,15,0.8,30.2542,0.0077523037251856,21.10569220530546,0.5438077087473486
sart_i20_r0.50_hologic_scan.npy,hologic_scan,20,0.5,35.0301,0.007775299502785773,21.092828730532837,0.5460701309542604
sart_i30_r0.30_hologic_scan.npy,hologic_scan,30,0.3,52.0655,0.007789057292309267,21.085151017013374,0.5483441960288788
sart_i15_r0.70_hologic_scan.npy,hologic_scan,15,0.7,29.1137,0.00779565806052332,21.081472185134572,0.5428426393898356
sart_i15_r0.60_hologic_scan.npy,hologic_scan,15,0.6,28.0448,0.007847719648870615,21.052565200423846,0.5415725319042568
sart_i10_r1.00_hologic_scan.npy,hologic_scan,10,1.0,18.8145,0.007863140931655268,21.044039403719278,0.5373283627755215
sart_i20_r0.40_hologic_scan.npy,hologic_scan,20,0.4,34.8725,0.007864020320701024,21.043553729535247,0.5432264321748406
sart_i50_r0.15_hologic_scan.npy,hologic_scan,50,0.15,86.3706,0.007879005748247596,21.03528582674511,0.5465342770240705
sart_i75_r0.10_hologic_scan.npy,hologic_scan,75,0.1,169.967,0.007885402777845144,21.031761184761013,0.5468762042748352
sart_i10_r0.90_hologic_scan.npy,hologic_scan,10,0.9,18.6596,0.007901709989479361,21.022789139459043,0.5366778492325843
sart_i15_r0.50_hologic_scan.npy,hologic_scan,15,0.5,27.7727,0.007917522920310947,21.01410670722055,0.5397655865138918
sart_i10_r0.80_hologic_scan.npy,hologic_scan,10,0.8,18.6847,0.00794203692657573,21.000680980111444,0.5359676661696349
sart_i10_r0.70_hologic_scan.npy,hologic_scan,10,0.7,16.7383,0.007991336318761524,20.97380591482296,0.535022862952689
sart_i30_r0.20_hologic_scan.npy,hologic_scan,30,0.2,52.2997,0.008012251908888445,20.962454047453683,0.5403326171770924
sart_i20_r0.30_hologic_scan.npy,hologic_scan,20,0.3,35.1755,0.008014844551611522,20.961048963955527,0.5387085646995748
sart_i15_r0.40_hologic_scan.npy,hologic_scan,15,0.4,28.0072,0.008026569740181969,20.9547001651406,0.5369087908533898
sart_i10_r0.60_hologic_scan.npy,hologic_scan,10,0.6,16.4312,0.008057821168964438,20.937823753434913,0.5336901449452047
sart_i5_r1.00_hologic_scan.npy,hologic_scan,5,1.0,8.39256,0.008119929323299047,20.90447750886264,0.5279334929447901
sart_i10_r0.50_hologic_scan.npy,hologic_scan,10,0.5,16.392,0.008159925221713937,20.883138211414586,0.5316763575018776
sart_i50_r0.10_hologic_scan.npy,hologic_scan,50,0.1,86.956,0.00816711883931228,20.8793112496959,0.5364117834309262
sart_i1_r1.00_hologic_scan.npy,hologic_scan,1,1.0,1.86566,0.008174784861822382,20.87523667970775,0.5146090279483295
sart_i100_r0.05_hologic_scan.npy,hologic_scan,100,0.05,243.099,0.008182820793538723,20.870969599114602,0.5361950678401589
sart_i5_r0.90_hologic_scan.npy,hologic_scan,5,0.9,8.33324,0.008202718993237037,20.860421661494936,0.5266809322621797
sart_i15_r0.30_hologic_scan.npy,hologic_scan,15,0.3,27.6247,0.008234294204411068,20.843736200845044,0.5321261049460173
sart_i30_r0.15_hologic_scan.npy,hologic_scan,30,0.15,52.8464,0.008252107520686577,20.834351220298775,0.5335628561414032
sart_i5_r0.80_hologic_scan.npy,hologic_scan,5,0.8,8.23118,0.008297807507878154,20.810366441317715,0.5252933796114669
sart_i10_r0.40_hologic_scan.npy,hologic_scan,10,0.4,16.3252,0.008340973824996477,20.787832416725035,0.5283165488160269
sart_i20_r0.20_hologic_scan.npy,hologic_scan,20,0.2,36.3794,0.008363885296635412,20.775919317821373,0.5302286655122218
sart_i5_r0.70_hologic_scan.npy,hologic_scan,5,0.7,8.34125,0.008423551312529833,20.745047742634597,0.5235517349168555
sart_i75_r0.05_hologic_scan.npy,hologic_scan,75,0.05,169.344,0.008496703504898428,20.707495363230393,0.528228919193086
sart_i5_r0.60_hologic_scan.npy,hologic_scan,5,0.6,8.74875,0.008611259538456923,20.64933321183397,0.5209839831838362
sart_i1_r0.90_hologic_scan.npy,hologic_scan,1,0.9,1.85612,0.008687582226085767,20.61101071879088,0.5084959027002002
sart_i10_r0.30_hologic_scan.npy,hologic_scan,10,0.3,16.3668,0.008713482842723198,20.59808219614469,0.5220984128565331
sart_i15_r0.20_hologic_scan.npy,hologic_scan,15,0.2,28.1521,0.008753954949002208,20.57795692752616,0.5222927924750698
sart_i20_r0.15_hologic_scan.npy,hologic_scan,20,0.15,36.759,0.008778737006699375,20.565679613691003,0.5222118944713533
sart_i30_r0.10_hologic_scan.npy,hologic_scan,30,0.1,52.3872,0.00880755510156089,20.551446311181664,0.5219177964473782
sart_i2_r1.00_hologic_scan.npy,hologic_scan,2,1.0,3.75123,0.00885621994845386,20.52751606084434,0.5158807897021493
sart_i5_r0.50_hologic_scan.npy,hologic_scan,5,0.5,8.83267,0.008912382177952434,20.50006198492486,0.5169343003710605
sart_i2_r0.90_hologic_scan.npy,hologic_scan,2,0.9,3.76157,0.009005097234422948,20.455115934335257,0.5139314015896109
sart_i50_r0.05_hologic_scan.npy,hologic_scan,50,0.05,87.8449,0.009211695093786311,20.35660445575111,0.5150887564053899
sart_i2_r0.80_hologic_scan.npy,hologic_scan,2,0.8,3.78744,0.009297488423781296,20.31634353704783,0.510170987966981
sart_i1_r0.80_hologic_scan.npy,hologic_scan,1,0.8,1.79906,0.0093467876680396,20.2933762311173,0.5016229381065701
sart_i15_r0.15_hologic_scan.npy,hologic_scan,15,0.15,28.1785,0.009372190214524574,20.281589057046,0.5125771550724401
sart_i5_r0.40_hologic_scan.npy,hologic_scan,5,0.4,8.29797,0.009433990212978688,20.253045786363796,0.5102451852202385
sart_i10_r0.20_hologic_scan.npy,hologic_scan,10,0.2,17.0235,0.009632689036075486,20.16252459447699,0.5087240920348894
sart_i20_r0.10_hologic_scan.npy,hologic_scan,20,0.1,39.4546,0.009743033445498287,20.11305806618774,0.5072782087692692
sart_i2_r0.70_hologic_scan.npy,hologic_scan,2,0.7,3.90658,0.00979822208870465,20.08852720951763,0.5039673345737016
sart_i1_r0.70_hologic_scan.npy,hologic_scan,1,0.7,1.75952,0.010198369085383296,19.914692746940254,0.49392614318586897
sart_i5_r0.30_hologic_scan.npy,hologic_scan,5,0.3,8.3332,0.010411510247359883,19.82486269094458,0.49865445685065746
sart_i2_r0.60_hologic_scan.npy,hologic_scan,2,0.6,4.02503,0.010599652461107978,19.747083740463076,0.4948498514557933
sart_i10_r0.15_hologic_scan.npy,hologic_scan,10,0.15,16.5802,0.010661056674707394,19.721997479125033,0.49565273610563204
sart_i15_r0.10_hologic_scan.npy,hologic_scan,15,0.1,28.2312,0.010746817694833084,19.687201182765843,0.4944744938080669
sart_i30_r0.05_hologic_scan.npy,hologic_scan,30,0.05,52.1714,0.01083455565982447,19.651888949988326,0.49326909003888303
sart_i1_r0.60_hologic_scan.npy,hologic_scan,1,0.6,1.73571,0.011384660387724507,19.436799201596948,0.4844334426772401
sart_i2_r0.50_hologic_scan.npy,hologic_scan,2,0.5,4.21419,0.011719572207973672,19.310882408014812,0.4838506798007342
sart_i5_r0.20_hologic_scan.npy,hologic_scan,5,0.2,8.35788,0.01247422683410873,19.039863629058562,0.4773767438866568
sart_i10_r0.10_hologic_scan.npy,hologic_scan,10,0.1,16.444,0.012771812645889506,18.937474609009254,0.4741947524435968
sart_i20_r0.05_hologic_scan.npy,hologic_scan,20,0.05,44.6608,0.012914563813068863,18.88920257456307,0.4728724022029994
sart_i2_r0.40_hologic_scan.npy,hologic_scan,2,0.4,5.38706,0.01300280995233331,18.859627850068033,0.4735471451451259
sart_i100_r0.01_hologic_scan.npy,hologic_scan,100,0.01,246.592,0.013020511853387954,18.85371942746896,0.472030854201823
sart_i1_r0.50_hologic_scan.npy,hologic_scan,1,0.5,1.84529,0.01311329534572965,18.82288157232218,0.4723913336290007
sart_i5_r0.15_hologic_scan.npy,hologic_scan,5,0.15,8.2333,0.014414306037518592,18.412062614499757,0.4617673374104482
sart_i15_r0.05_hologic_scan.npy,hologic_scan,15,0.05,28.2301,0.014803719133951591,18.29629163223785,0.45869585451218275
sart_i75_r0.01_hologic_scan.npy,hologic_scan,75,0.01,169.124,0.01494009079926449,18.25646763062809,0.45777378266846896
sart_i2_r0.30_hologic_scan.npy,hologic_scan,2,0.3,4.66112,0.015095521321794623,18.21151884080487,0.4590072485533095
sart_i1_r0.40_hologic_scan.npy,hologic_scan,1,0.4,1.82775,0.01578649914880723,18.017141694803886,0.45641711850289957
sart_i5_r0.10_hologic_scan.npy,hologic_scan,5,0.1,8.61186,0.018069916244610247,17.43043860421243,0.43950683088370124
sart_i10_r0.05_hologic_scan.npy,hologic_scan,10,0.05,16.6974,0.01837702132017132,17.35724880819725,0.4376016058874961
sart_i50_r0.01_hologic_scan.npy,hologic_scan,50,0.01,87.0135,0.018578388211418592,17.30991966405362,0.43651139970501374
